timestamp,Infrared to Red Signal Ratio
10/28/25 09:25:07,0
10/28/25 09:26:07,0
10/28/25 09:40:16,0
10/28/25 09:41:16,0
10/28/25 09:42:16,0
10/28/25 09:50:19,0
10/28/25 09:51:19,0
10/28/25 09:52:19,0
10/28/25 09:53:19,0
10/28/25 09:54:19,0
10/28/25 09:58:14,-23
10/28/25 09:59:14,0
10/28/25 10:00:14,0
10/28/25 10:02:23,0
10/28/25 10:03:23,0
10/28/25 10:04:23,0
10/28/25 10:05:23,0
10/28/25 10:06:23,0
10/28/25 10:07:44,0
10/28/25 10:18:33,0
10/28/25 10:19:33,0
10/28/25 10:34:01,0
10/28/25 10:35:01,0
10/28/25 10:36:01,0
10/28/25 10:37:01,0
10/28/25 10:38:01,0
10/28/25 10:39:01,0
10/28/25 10:40:01,0
10/28/25 10:41:01,0
10/28/25 10:42:07,0
10/28/25 10:51:17,0
10/28/25 10:52:17,0
10/28/25 10:53:17,0
10/28/25 10:54:17,0
10/28/25 10:55:17,0
10/28/25 10:56:17,0
10/28/25 10:57:17,0
10/28/25 10:58:17,0
10/28/25 10:59:17,0
10/28/25 11:00:17,0
10/28/25 11:01:17,0
10/28/25 11:02:17,0
10/28/25 11:12:12,0
10/28/25 11:13:12,0
10/28/25 11:14:12,0
10/28/25 11:15:12,0
10/28/25 11:16:21,-13
10/28/25 11:17:21,0
10/28/25 11:18:59,0
10/28/25 11:19:59,0
10/28/25 11:21:03,0
10/28/25 11:22:07,0
10/28/25 11:58:20,0
10/28/25 11:59:26,0
10/28/25 12:00:26,0
10/28/25 12:01:26,0
10/28/25 12:02:26,-7
10/28/25 12:04:14,0
10/28/25 12:05:14,0
10/28/25 12:06:15,0
10/28/25 12:07:15,0
10/28/25 12:08:21,0
10/28/25 12:09:21,0
10/28/25 12:10:27,0
10/28/25 12:11:33,0
10/28/25 12:12:33,0
10/28/25 12:13:33,0
10/28/25 12:14:39,0
10/28/25 12:15:39,0
10/28/25 12:16:45,0
10/28/25 12:17:51,0
10/28/25 12:18:57,0
10/28/25 12:20:03,0
10/28/25 12:22:09,0
10/28/25 12:23:15,0
10/28/25 12:24:21,0
10/28/25 12:25:27,0
10/28/25 12:26:27,0
10/28/25 12:27:33,0
10/28/25 12:28:33,0
10/28/25 12:29:39,0
10/28/25 12:30:39,0
10/28/25 12:31:45,0
10/28/25 12:32:52,0
10/28/25 12:33:58,0
10/28/25 12:34:58,0
10/28/25 12:36:04,0
10/28/25 12:37:10,0
10/28/25 12:38:10,0
10/28/25 12:39:10,0
10/28/25 12:40:10,0
10/28/25 12:41:16,0
10/28/25 12:42:16,0
10/28/25 12:43:22,0
10/28/25 12:44:22,0
10/28/25 12:45:28,0
10/28/25 12:46:34,0
10/28/25 12:47:34,0
10/28/25 12:48:34,0
10/28/25 12:49:41,0
10/28/25 12:50:41,0
10/28/25 12:51:41,0
10/28/25 12:52:48,0
10/28/25 12:53:54,0
10/28/25 12:54:54,0
10/28/25 12:55:54,0
10/28/25 12:57:00,0
10/28/25 12:58:00,0
10/28/25 13:26:36,0
10/28/25 13:27:36,18
10/28/25 13:28:36,0
10/28/25 13:29:36,0
10/28/25 13:30:36,-30
10/28/25 13:31:36,-20
10/28/25 13:32:36,0
10/28/25 13:33:36,-5
10/28/25 13:34:36,0
10/28/25 13:35:36,0
10/28/25 13:36:36,21
10/28/25 13:37:36,0
10/28/25 13:38:36,0
10/28/25 13:39:36,-13
10/28/25 13:40:36,0
10/28/25 13:41:36,-28
10/28/25 13:42:36,0
10/28/25 13:43:36,-2
10/28/25 13:44:36,0
10/28/25 13:45:36,-11
10/28/25 13:46:36,31
10/28/25 13:47:36,0
10/28/25 13:48:37,-4
10/28/25 13:49:37,-2
10/28/25 13:50:37,0
10/28/25 13:51:38,0
10/28/25 13:52:38,0
10/28/25 13:53:38,0
10/28/25 13:54:38,-4
10/28/25 13:55:38,13
10/28/25 13:56:38,6
10/28/25 13:57:38,-10
10/28/25 13:58:38,31
10/28/25 13:59:38,0
