timestamp,Infrared to Red Signal Ratio
04/03/25 07:48:49,0
04/03/25 08:01:27,0
04/03/25 08:02:27,0
04/03/25 08:03:27,0
04/03/25 08:04:27,0
04/03/25 08:05:27,0
04/03/25 08:06:27,0
04/03/25 08:07:27,0
04/03/25 08:08:27,0
04/03/25 08:09:27,0
04/03/25 08:10:27,0
04/03/25 08:11:27,0
04/03/25 08:12:27,0
04/03/25 08:13:27,25
04/03/25 08:14:27,-12
04/03/25 08:15:27,0
04/03/25 08:16:27,0
04/03/25 08:17:27,0
04/03/25 08:18:27,0
04/03/25 08:19:27,0
04/03/25 08:20:27,0
04/03/25 08:21:27,0
04/03/25 08:22:27,0
04/03/25 08:23:27,0
04/03/25 08:24:27,0
04/03/25 08:25:27,0
04/03/25 08:26:27,0
04/03/25 08:27:27,0
04/03/25 08:28:27,0
04/03/25 08:29:27,0
04/03/25 08:30:27,0
04/03/25 08:31:27,0
04/03/25 08:32:27,0
04/03/25 08:33:27,0
04/03/25 08:34:27,0
04/03/25 08:35:27,0
04/03/25 08:36:27,0
04/03/25 08:37:27,0
04/03/25 08:38:27,0
04/03/25 08:39:27,0
04/03/25 08:40:27,0
04/03/25 08:41:27,0
04/03/25 08:42:27,0
04/03/25 08:43:27,0
04/03/25 08:44:27,0
04/03/25 08:45:27,0
04/03/25 08:46:27,0
04/03/25 08:47:27,-19
04/03/25 08:48:27,0
04/03/25 08:49:27,-5
04/03/25 08:50:27,0
04/03/25 08:51:27,0
04/03/25 08:52:27,0
04/03/25 08:53:27,0
04/03/25 08:54:27,0
04/03/25 08:55:27,0
04/03/25 08:56:27,0
04/03/25 08:57:27,0
04/03/25 08:58:27,0
04/03/25 08:59:27,0
04/03/25 09:00:27,0
04/03/25 09:01:27,0
04/03/25 09:02:27,0
04/03/25 09:03:27,0
04/03/25 09:04:27,0
04/03/25 09:05:27,0
04/03/25 09:06:27,0
04/03/25 09:07:27,0
04/03/25 09:08:27,0
04/03/25 09:09:27,0
04/03/25 09:10:27,0
04/03/25 09:11:27,0
04/03/25 09:12:27,0
04/03/25 09:13:27,0
04/03/25 09:14:27,14
04/03/25 09:15:27,0
04/03/25 09:16:27,0
04/03/25 09:17:27,0
04/03/25 09:18:27,0
04/03/25 09:19:27,23
04/03/25 09:20:27,0
04/03/25 09:21:27,0
04/03/25 09:22:27,0
04/03/25 11:36:29,0
04/03/25 11:37:29,0
04/03/25 11:38:29,0
04/03/25 11:39:29,0
04/03/25 11:40:29,0
04/03/25 11:41:29,0
04/03/25 11:42:29,0
04/03/25 11:43:29,0
04/03/25 11:44:29,0
04/03/25 11:45:30,0
04/03/25 11:46:30,0
04/03/25 11:47:30,0
04/03/25 11:48:30,0
04/03/25 11:49:30,0
04/03/25 11:50:30,0
04/03/25 11:51:30,0
04/03/25 11:52:30,0
04/03/25 11:53:30,0
04/03/25 11:54:30,0
04/03/25 11:55:30,0
04/03/25 11:56:30,0
04/03/25 11:57:30,0
04/03/25 11:58:30,0
04/03/25 11:59:30,0
04/03/25 12:00:30,0
04/03/25 12:01:30,0
04/03/25 12:02:30,0
04/03/25 12:03:30,7
04/03/25 12:04:30,0
04/03/25 12:05:30,0
04/03/25 12:06:30,0
04/03/25 12:07:30,-47
04/03/25 12:08:30,-8
04/03/25 12:09:30,0
04/03/25 12:10:30,0
04/03/25 12:11:30,-17
04/03/25 12:12:30,-3
04/03/25 12:13:30,-7
04/03/25 12:14:30,0
04/03/25 12:15:30,0
04/03/25 12:16:30,47
04/03/25 12:17:30,-1
04/03/25 12:18:30,0
04/03/25 12:19:30,0
04/03/25 12:20:30,-42
04/03/25 12:21:30,0
04/03/25 12:22:30,0
04/03/25 12:23:30,0
04/03/25 12:24:30,0
04/03/25 12:25:30,0
04/03/25 12:26:30,0
04/03/25 12:27:30,0
04/03/25 12:28:30,0
04/03/25 12:29:30,0
04/03/25 12:30:30,0
04/03/25 12:31:30,0
04/03/25 12:32:30,0
04/03/25 12:33:30,0
04/03/25 12:34:30,0
04/03/25 12:35:30,0
04/03/25 12:36:30,0
04/03/25 12:37:30,0
04/03/25 12:38:30,0
04/03/25 12:39:30,0
04/03/25 12:40:30,0
04/03/25 12:41:30,0
04/03/25 12:42:30,0
04/03/25 12:43:30,0
04/03/25 12:44:30,0
04/03/25 12:45:30,0
04/03/25 12:46:30,0
04/03/25 12:47:30,0
04/03/25 12:48:32,0
04/03/25 12:49:32,0
04/03/25 12:50:32,0
