timestamp,value
2025-08-01T08:05:57Z,82.6
2025-08-01T08:27:33Z,93.5
2025-08-01T08:28:33Z,84.8
2025-08-01T08:29:33Z,80.4
2025-08-01T08:30:33Z,78.8
2025-08-01T08:31:33Z,78.6
2025-08-01T08:32:33Z,78.7
2025-08-01T08:33:33Z,78.6
2025-08-01T08:34:33Z,78.9
2025-08-01T08:35:33Z,79.8
2025-08-01T08:36:33Z,80.4
2025-08-01T08:37:33Z,80.4
2025-08-01T08:38:33Z,80.9
2025-08-01T08:39:33Z,82.2
2025-08-01T08:40:33Z,81.6
2025-08-01T08:41:33Z,81.6
2025-08-01T08:42:33Z,81.2
2025-08-01T08:43:33Z,81.3
2025-08-01T08:44:33Z,81.2
2025-08-01T08:45:33Z,50.0
2025-08-01T08:46:33Z,50.0
2025-08-01T08:47:33Z,50.0
2025-08-01T08:48:33Z,50.0
2025-08-01T08:49:33Z,80.5
